"burst","new_burst","Ind_ID","burst_id"
"burst_4",1158160,"Mieles",289540
"burst_4",1158161,"Mieles",289541
"burst_4",1158162,"Mieles",289541
"burst_4",1158163,"Mieles",289541
"burst_4",1158164,"Mieles",289541
"burst_4",1158165,"Mieles",289542
"burst_4",1158166,"Mieles",289542
"burst_4",1158167,"Mieles",289542
"burst_4",1158168,"Mieles",289542
"burst_4",1158169,"Mieles",289543
"burst_4",1158170,"Mieles",289543
"burst_4",1158171,"Mieles",289543
"burst_4",1158172,"Mieles",289543
"burst_4",1158173,"Mieles",289544
"burst_4",1158174,"Mieles",289544
"burst_4",1158175,"Mieles",289544
"burst_4",1158176,"Mieles",289544
"burst_4",1158177,"Mieles",289545
"burst_4",1158178,"Mieles",289545
"burst_4",1158179,"Mieles",289545
"burst_4",1158180,"Mieles",289545
"burst_4",1180069,"Vry",295018
"burst_4",1180070,"Vry",295018
"burst_4",1180071,"Vry",295018
"burst_4",1180072,"Vry",295018
"burst_4",1180073,"Vry",295019
"burst_4",1180074,"Vry",295019
"burst_4",1180075,"Vry",295019
"burst_4",1180076,"Vry",295019
"burst_4",1180077,"Vry",295020
"burst_4",1180078,"Vry",295020
"burst_4",1180079,"Vry",295020
"burst_4",1180080,"Vry",295020
"burst_4",1180081,"Vry",295021
"burst_4",1180082,"Vry",295021
"burst_4",1180083,"Vry",295021
"burst_4",1180084,"Vry",295021
"burst_4",1180085,"Vry",295022
"burst_4",1180086,"Vry",295022
"burst_4",1180087,"Vry",295022
"burst_4",1180088,"Vry",295022
"burst_4",1180089,"Vry",295023
"burst_4",1180090,"Vry",295023
"burst_4",1180091,"Vry",295023
"burst_4",1180092,"Vry",295023
"burst_4",1180093,"Vry",295024
"burst_4",1180094,"Vry",295024
"burst_4",1180095,"Vry",295024
"burst_4",1180096,"Vry",295024
"burst_4",1188405,"Mieles",297102
"burst_4",1188406,"Mieles",297102
"burst_4",1188407,"Mieles",297102
"burst_4",1188408,"Mieles",297102
"burst_4",1196057,"Vry",299015
"burst_4",1196058,"Vry",299015
"burst_4",1196059,"Vry",299015
"burst_4",1196060,"Vry",299015
"burst_4",1196061,"Vry",299016
"burst_4",1196062,"Vry",299016
"burst_4",1196063,"Vry",299016
"burst_4",1196064,"Vry",299016
"burst_4",1196065,"Vry",299017
"burst_4",1196066,"Vry",299017
"burst_4",1196067,"Vry",299017
"burst_4",1196068,"Vry",299017
"burst_4",1196069,"Vry",299018
"burst_4",1196070,"Vry",299018
"burst_4",1196071,"Vry",299018
"burst_4",1196072,"Vry",299018
"burst_4",1196073,"Vry",299019
"burst_4",1196074,"Vry",299019
"burst_4",1196075,"Vry",299019
"burst_4",1196076,"Vry",299019
"burst_4",1196565,"Mieles",299142
"burst_4",1196566,"Mieles",299142
"burst_4",1196567,"Mieles",299142
"burst_4",1196568,"Mieles",299142
"burst_4",1196569,"Mieles",299143
"burst_4",1196570,"Mieles",299143
"burst_4",1196571,"Mieles",299143
"burst_4",1196572,"Mieles",299143
"burst_4",1196573,"Mieles",299144
"burst_4",1196574,"Mieles",299144
"burst_4",1196575,"Mieles",299144
"burst_4",1196576,"Mieles",299144
"burst_4",1196577,"Mieles",299145
"burst_4",1196578,"Mieles",299145
"burst_4",1196579,"Mieles",299145
"burst_4",1196580,"Mieles",299145
"burst_4",1196581,"Mieles",299146
"burst_4",1196582,"Mieles",299146
"burst_4",1196583,"Mieles",299146
"burst_4",1196584,"Mieles",299146
"burst_4",1196585,"Mieles",299147
"burst_4",1196586,"Mieles",299147
"burst_4",1196587,"Mieles",299147
"burst_4",1196588,"Mieles",299147
"burst_4",1196589,"Mieles",299148
"burst_4",1196590,"Mieles",299148
"burst_4",1196591,"Mieles",299148
"burst_4",1196592,"Mieles",299148
"burst_4",1196593,"Mieles",299149
"burst_4",1196594,"Mieles",299149
"burst_4",1196595,"Mieles",299149
"burst_4",1196596,"Mieles",299149
"burst_4",1196597,"Mieles",299150
"burst_4",1196598,"Mieles",299150
"burst_4",1196599,"Mieles",299150
"burst_4",1196600,"Mieles",299150
"burst_4",1196601,"Mieles",299151
"burst_4",1196602,"Mieles",299151
"burst_4",1196603,"Mieles",299151
"burst_4",1196604,"Mieles",299151
"burst_4",1196605,"Mieles",299152
"burst_4",1196606,"Mieles",299152
"burst_4",1196607,"Mieles",299152
"burst_4",1196608,"Mieles",299152
"burst_4",1196609,"Mieles",299153
"burst_4",1196610,"Mieles",299153
"burst_4",1196611,"Mieles",299153
"burst_4",1196612,"Mieles",299153
"burst_4",1196613,"Mieles",299154
"burst_4",1196614,"Mieles",299154
"burst_4",1196615,"Mieles",299154
"burst_4",1196616,"Mieles",299154
"burst_4",1196617,"Mieles",299155
"burst_4",1196618,"Mieles",299155
"burst_4",1196619,"Mieles",299155
"burst_4",1196620,"Mieles",299155
"burst_4",1196621,"Mieles",299156
"burst_4",1196622,"Mieles",299156
"burst_4",1196623,"Mieles",299156
"burst_4",1196624,"Mieles",299156
"burst_4",1196625,"Mieles",299157
"burst_4",1196626,"Mieles",299157
"burst_4",1196627,"Mieles",299157
"burst_4",1196628,"Mieles",299157
"burst_4",1196629,"Mieles",299158
"burst_4",1196630,"Mieles",299158
"burst_4",1196631,"Mieles",299158
"burst_4",1196632,"Mieles",299158
"burst_4",1196633,"Mieles",299159
"burst_4",1196634,"Mieles",299159
"burst_4",1196635,"Mieles",299159
"burst_4",1196636,"Mieles",299159
"burst_4",1196637,"Mieles",299160
"burst_4",1196638,"Mieles",299160
"burst_4",1196639,"Mieles",299160
"burst_4",1196640,"Mieles",299160
"burst_4",1197233,"Seychelles",299309
"burst_4",1197234,"Seychelles",299309
"burst_4",1197235,"Seychelles",299309
"burst_4",1197236,"Seychelles",299309
"burst_4",1197237,"Seychelles",299310
"burst_4",1197238,"Seychelles",299310
"burst_4",1197239,"Seychelles",299310
"burst_4",1197240,"Seychelles",299310
"burst_4",1197241,"Seychelles",299311
"burst_4",1197242,"Seychelles",299311
"burst_4",1197243,"Seychelles",299311
"burst_4",1197244,"Seychelles",299311
"burst_4",1197245,"Seychelles",299312
"burst_4",1197246,"Seychelles",299312
"burst_4",1197247,"Seychelles",299312
"burst_4",1197248,"Seychelles",299312
"burst_4",1197249,"Seychelles",299313
"burst_4",1197250,"Seychelles",299313
"burst_4",1197251,"Seychelles",299313
"burst_4",1197252,"Seychelles",299313
"burst_4",1197253,"Seychelles",299314
"burst_4",1197254,"Seychelles",299314
"burst_4",1197255,"Seychelles",299314
"burst_4",1197256,"Seychelles",299314
"burst_4",1197257,"Seychelles",299315
"burst_4",1197258,"Seychelles",299315
"burst_4",1197259,"Seychelles",299315
"burst_4",1197260,"Seychelles",299315
"burst_4",1197261,"Seychelles",299316
"burst_4",1197262,"Seychelles",299316
"burst_4",1197263,"Seychelles",299316
"burst_4",1197264,"Seychelles",299316
"burst_4",1197265,"Seychelles",299317
"burst_4",1197266,"Seychelles",299317
"burst_4",1197267,"Seychelles",299317
"burst_4",1197268,"Seychelles",299317
"burst_4",1197269,"Seychelles",299318
"burst_4",1197270,"Seychelles",299318
"burst_4",1197271,"Seychelles",299318
"burst_4",1197272,"Seychelles",299318
"burst_4",1197273,"Seychelles",299319
"burst_4",1197274,"Seychelles",299319
"burst_4",1197275,"Seychelles",299319
"burst_4",1197276,"Seychelles",299319
"burst_4",1197277,"Seychelles",299320
"burst_4",1197278,"Seychelles",299320
"burst_4",1197279,"Seychelles",299320
"burst_4",1197280,"Seychelles",299320
"burst_4",1197281,"Seychelles",299321
"burst_4",1197282,"Seychelles",299321
"burst_4",1197283,"Seychelles",299321
"burst_4",1197284,"Seychelles",299321
"burst_4",1197285,"Seychelles",299322
"burst_4",1197286,"Seychelles",299322
"burst_4",1197287,"Seychelles",299322
"burst_4",1197288,"Seychelles",299322
"burst_4",1197289,"Seychelles",299323
"burst_4",1197290,"Seychelles",299323
"burst_4",1197291,"Seychelles",299323
"burst_4",1197292,"Seychelles",299323
"burst_4",1197293,"Seychelles",299324
"burst_4",1197294,"Seychelles",299324
"burst_4",1197295,"Seychelles",299324
"burst_4",1197296,"Seychelles",299324
"burst_4",1197297,"Seychelles",299325
"burst_4",1197298,"Seychelles",299325
"burst_4",1197299,"Seychelles",299325
"burst_4",1197300,"Seychelles",299325
"burst_4",1197301,"Seychelles",299326
"burst_4",1197302,"Seychelles",299326
"burst_4",1197303,"Seychelles",299326
"burst_4",1197304,"Seychelles",299326
"burst_4",1197305,"Seychelles",299327
"burst_4",1197306,"Seychelles",299327
"burst_4",1197307,"Seychelles",299327
"burst_4",1197308,"Seychelles",299327
"burst_4",1197309,"Seychelles",299328
"burst_4",1197310,"Seychelles",299328
"burst_4",1197311,"Seychelles",299328
"burst_4",1197312,"Seychelles",299328
"burst_4",1200437,"Mieles",300110
"burst_4",1200438,"Mieles",300110
"burst_4",1200439,"Mieles",300110
"burst_4",1200440,"Mieles",300110
"burst_4",1200441,"Mieles",300111
"burst_4",1200442,"Mieles",300111
"burst_4",1200443,"Mieles",300111
"burst_4",1200444,"Mieles",300111
"burst_4",1200445,"Mieles",300112
"burst_4",1200446,"Mieles",300112
"burst_4",1200447,"Mieles",300112
"burst_4",1200448,"Mieles",300112
"burst_4",1200449,"Mieles",300113
"burst_4",1200450,"Mieles",300113
"burst_4",1200451,"Mieles",300113
"burst_4",1200452,"Mieles",300113
"burst_4",1200453,"Mieles",300114
"burst_4",1200454,"Mieles",300114
"burst_4",1200455,"Mieles",300114
"burst_4",1200456,"Mieles",300114
"burst_4",1200457,"Mieles",300115
"burst_4",1200458,"Mieles",300115
"burst_4",1200459,"Mieles",300115
"burst_4",1200460,"Mieles",300115
"burst_4",1200461,"Mieles",300116
"burst_4",1200462,"Mieles",300116
"burst_4",1200463,"Mieles",300116
"burst_4",1200464,"Mieles",300116
"burst_4",1200465,"Mieles",300117
"burst_4",1200466,"Mieles",300117
"burst_4",1200467,"Mieles",300117
"burst_4",1200468,"Mieles",300117
"burst_4",1200469,"Mieles",300118
"burst_4",1200470,"Mieles",300118
"burst_4",1200471,"Mieles",300118
"burst_4",1200472,"Mieles",300118
"burst_4",1200473,"Mieles",300119
"burst_4",1200474,"Mieles",300119
"burst_4",1200475,"Mieles",300119
"burst_4",1200476,"Mieles",300119
"burst_4",1200477,"Mieles",300120
"burst_4",1200478,"Mieles",300120
"burst_4",1200479,"Mieles",300120
"burst_4",1200480,"Mieles",300120
"burst_4",1200481,"Mieles",300121
"burst_4",1200482,"Mieles",300121
"burst_4",1200483,"Mieles",300121
"burst_4",1200484,"Mieles",300121
"burst_4",1200485,"Mieles",300122
"burst_4",1200486,"Mieles",300122
"burst_4",1200487,"Mieles",300122
"burst_4",1200488,"Mieles",300122
"burst_4",1200489,"Mieles",300123
"burst_4",1200490,"Mieles",300123
"burst_4",1200491,"Mieles",300123
"burst_4",1200492,"Mieles",300123
"burst_4",1200493,"Mieles",300124
"burst_4",1200494,"Mieles",300124
"burst_4",1200495,"Mieles",300124
"burst_4",1200496,"Mieles",300124
"burst_4",1200497,"Mieles",300125
"burst_4",1200498,"Mieles",300125
"burst_4",1200499,"Mieles",300125
"burst_4",1200500,"Mieles",300125
"burst_4",1200501,"Mieles",300126
"burst_4",1200502,"Mieles",300126
"burst_4",1200503,"Mieles",300126
"burst_4",1200504,"Mieles",300126
"burst_4",1200505,"Mieles",300127
"burst_4",1200506,"Mieles",300127
"burst_4",1200507,"Mieles",300127
"burst_4",1200508,"Mieles",300127
"burst_4",1200509,"Mieles",300128
"burst_4",1200510,"Mieles",300128
"burst_4",1200511,"Mieles",300128
"burst_4",1200512,"Mieles",300128
"burst_4",1200513,"Mieles",300129
"burst_4",1200514,"Mieles",300129
"burst_4",1200515,"Mieles",300129
"burst_4",1200516,"Mieles",300129
"burst_4",1200517,"Mieles",300130
"burst_4",1200518,"Mieles",300130
"burst_4",1200519,"Mieles",300130
"burst_4",1200520,"Mieles",300130
"burst_4",1200521,"Mieles",300131
"burst_4",1200522,"Mieles",300131
"burst_4",1200523,"Mieles",300131
"burst_4",1200524,"Mieles",300131
"burst_4",1200525,"Mieles",300132
"burst_4",1200526,"Mieles",300132
"burst_4",1200527,"Mieles",300132
"burst_4",1200528,"Mieles",300132
"burst_4",1200529,"Mieles",300133
"burst_4",1200530,"Mieles",300133
"burst_4",1200531,"Mieles",300133
"burst_4",1200532,"Mieles",300133
"burst_4",1200533,"Mieles",300134
"burst_4",1200534,"Mieles",300134
"burst_4",1200535,"Mieles",300134
"burst_4",1200536,"Mieles",300134
"burst_4",1200537,"Mieles",300135
"burst_4",1200538,"Mieles",300135
"burst_4",1200539,"Mieles",300135
"burst_4",1200540,"Mieles",300135
"burst_4",1200541,"Mieles",300136
"burst_4",1200542,"Mieles",300136
"burst_4",1200543,"Mieles",300136
"burst_4",1200544,"Mieles",300136
"burst_4",1200545,"Mieles",300137
"burst_4",1200546,"Mieles",300137
"burst_4",1200547,"Mieles",300137
"burst_4",1200548,"Mieles",300137
"burst_4",1200549,"Mieles",300138
"burst_4",1200550,"Mieles",300138
"burst_4",1200551,"Mieles",300138
"burst_4",1200552,"Mieles",300138
"burst_4",1200553,"Mieles",300139
"burst_4",1200554,"Mieles",300139
"burst_4",1200555,"Mieles",300139
"burst_4",1200556,"Mieles",300139
"burst_4",1200557,"Mieles",300140
"burst_4",1200558,"Mieles",300140
"burst_4",1200559,"Mieles",300140
"burst_4",1200560,"Mieles",300140
"burst_4",1200561,"Mieles",300141
"burst_4",1200562,"Mieles",300141
