"comparison","model","burst","correction_type","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"model",NA,"Burst_1","uncorrected","accuracy","TabPFN","GANDALF",0.0765440940878467,0.0188898291893524,0.0395207092026026,0.113567478973091,4.05213267523839,5.07528688029559e-05
"model",NA,"Burst_1","uncorrected","accuracy","LSTM","GANDALF",-0.288464742625248,0.0202822208101285,-0.328217164939588,-0.248712320310907,-14.2225422613087,6.63963227961177e-46
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","GANDALF",-0.0231293057838896,0.0198962583123574,-0.0621252555032157,0.0158666439354365,-1.16249525015084,0.245034352952082
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","GANDALF",0.0816228149513345,0.0188242120886066,0.0447280372203221,0.118517592682347,4.33605478769212,1.45062801457933e-05
"model",NA,"Burst_1","uncorrected","accuracy","LSTM","TabPFN",-0.365008836713094,0.0194888599192378,-0.403206300254547,-0.326811373171642,-18.72910155985,2.8671370137485e-78
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","TabPFN",-0.0996733998717363,0.0190858868091869,-0.137081050630751,-0.0622657491127218,-5.22236146888175,1.76655705311222e-07
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","TabPFN",0.00507872086348782,0.0179651411988148,-0.0301323088633659,0.0402897505903415,0.28269863327447,0.777407864019059
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","LSTM",0.265335436841358,0.020464565957832,0.225225624604763,0.305445249077953,12.9656029543012,1.91716905721945e-38
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","LSTM",0.370087557576582,0.0194253354154516,0.332014599774687,0.408160515378478,19.0517975448806,6.34843648306075e-81
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","TSSeq",0.104752120735224,0.0190209517015522,0.067471740448506,0.142032501021942,5.50719661028717,3.64592996533493e-08
"model",NA,"Burst_1","uncorrected","roc_auc","SVC","RF",-0.0764695853938967,0.0118748781623382,-0.0997439189128807,-0.0531952518749127,-6.43961010365768,1.19780797971998e-10
"model",NA,"Burst_1","uncorrected","roc_auc","XGB","RF",-0.00257229170484763,0.0101951208469377,-0.0225543613828789,0.0174097779731837,-0.252306151488168,0.800804433717125
"model",NA,"Burst_1","uncorrected","roc_auc","CatEmbed","RF",-0.0078795477869773,0.0103366502910447,-0.0281390100782103,0.0123799145042557,-0.76229218993738,0.445885634178646
"model",NA,"Burst_1","uncorrected","roc_auc","GANDALF","RF",-0.00879767197871095,0.0103607478619874,-0.0291043646411066,0.0115090206836847,-0.849134840061959,0.395806265863771
"model",NA,"Burst_1","uncorrected","roc_auc","TabPFN","RF",0.0206370692580491,0.00952846913714911,0.00196161292143539,0.0393125255946628,2.16583261812649,0.0303239798317629
"model",NA,"Burst_1","uncorrected","roc_auc","LSTM","RF",-0.300499651374485,0.0144493405563908,-0.328819838465365,-0.272179464283606,-20.796772710958,4.62928889214529e-96
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","RF",-0.0545381442255801,0.0114355495474591,-0.0769514094820233,-0.0321248789691369,-4.76917563071536,1.84981335810237e-06
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","RF",0.0343339223126665,0.00909369583239124,0.0165106059948177,0.0521572386305153,3.77557408401224,0.000159639567517611
"model",NA,"Burst_1","uncorrected","roc_auc","XGB","SVC",0.0738972936890491,0.0119345914426471,0.0505059242912609,0.0972886630868373,6.19185784818611,5.94591651835813e-10
"model",NA,"Burst_1","uncorrected","roc_auc","CatEmbed","SVC",0.0685900376069194,0.0120557006186242,0.0449612985860187,0.0922187766278201,5.68942774681698,1.27465808705436e-08
"model",NA,"Burst_1","uncorrected","roc_auc","GANDALF","SVC",0.0676719134151857,0.0120763648397747,0.0440026732650615,0.09134115356531,5.60366586411015,2.09865096971823e-08
"model",NA,"Burst_1","uncorrected","roc_auc","TabPFN","SVC",0.0971066546519458,0.0113704569187777,0.0748209686033773,0.119392340700514,8.54025966991525,1.33920546026985e-17
