"contrast_level","comparison","model","burst","correction_type","beh_rarity","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","CatEmbed","SVC",0.378280299932856,0.0772562018919503,0.226860926642278,0.529699673223434,4.89643925884313,9.75887941007689e-07
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","GANDALF","SVC",0.353985053274156,0.0785338179700882,0.200061598484359,0.507908508063954,4.50742192884321,6.56200634357421e-06
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TabPFN","SVC",0.405397830824512,0.0756179659023619,0.257189341071705,0.55360632057732,5.36113112785873,8.27024556349395e-08
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","LSTM","SVC",0.151476993565893,0.0821221022465873,-0.00947936917213393,0.31243335630392,1.84453380298345,0.0651053842120242
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","SVC",0.345620781107796,0.0789316819030441,0.190917527338657,0.500324034876934,4.37873326368922,1.1937112712639e-05
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","SVC",0.366621783612881,0.077891877145278,0.213956509719917,0.519287057505844,4.70680380354791,2.51630871762385e-06
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","CatEmbed","XGB",-0.0185615772421107,0.076035502472356,-0.167588423634335,0.130465269150113,-0.244117243110994,0.807140018401234
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","GANDALF","XGB",-0.0428568239008106,0.077376897726191,-0.194512756679584,0.108799108877963,-0.553871054025265,0.579667096280269
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TabPFN","XGB",0.00855595364954553,0.074324600718766,-0.137117586924556,0.154229494223647,0.115116039195691,0.908353146980016
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","LSTM","XGB",-0.245364883609074,0.0814307435519068,-0.404966208205128,-0.0857635590130194,-3.01317257962491,0.00258531849894812
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","XGB",-0.0512210960671711,0.0777963674172451,-0.203699174333017,0.101256982198675,-0.658399585580353,0.51028140162388
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","XGB",-0.0302200935620862,0.0767019635257685,-0.180553179616097,0.120112992491925,-0.393993741137195,0.693585660139096
