burst,correction_type,target,random_seed,model,params,train_loss,valid_loss,accuracy,roc_auc,balanced_acc,f1_score,precision,recall,time
Burst_2,rotdaily,Behaviour,100,HydraMultiRocketPlus,{},0.19487646222114563,0.7541844844818115,0.7062937021255493,0.9419650205998777,0.5553001165501166,0.6902719310900319,0.7051284191114999,0.7062937062937062,52
Burst_2,rotdaily,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5479968786239624,1.5304754972457886,0.38461539149284363,0.545872114968673,0.16517857142857142,0.22585114416100335,0.17224123677578848,0.38461538461538464,18
Burst_2,rotdaily,Behaviour,100,TSSequencerPlus,{},0.7693760395050049,1.006227970123291,0.6223776340484619,0.8730086428208186,0.3381343656343656,0.5728021878668839,0.5356246377288286,0.6223776223776224,41
Burst_2,rotdaily,Behaviour,123,HydraMultiRocketPlus,{},0.35071104764938354,0.7111746668815613,0.748251736164093,0.9541847333753883,0.6053750416250416,0.7379042400288511,0.7503084726155772,0.7482517482517482,52
Burst_2,rotdaily,Behaviour,123,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.550489902496338,1.529115915298462,0.3869463801383972,0.574642265514,0.16964285714285715,0.23112680523562326,0.19504578356252994,0.38694638694638694,18
Burst_2,rotdaily,Behaviour,123,TSSequencerPlus,{},0.8594213128089905,0.9920021295547485,0.6363636255264282,0.8806314779701736,0.35179528804528803,0.5847254462353282,0.5430905798432827,0.6363636363636364,41
Burst_2,rotdaily,Behaviour,1234,HydraMultiRocketPlus,{},0.19192619621753693,0.7268801331520081,0.7365967631340027,0.9419144766183132,0.6358054445554446,0.7274176271152786,0.7332203578216336,0.7365967365967366,52
Burst_2,rotdaily,Behaviour,1234,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5183000564575195,1.5098236799240112,0.39393940567970276,0.6335069087093554,0.16603188478188477,0.262100868889532,0.34458978929567163,0.3939393939393939,19
Burst_2,rotdaily,Behaviour,1234,TSSequencerPlus,{},0.9191917777061462,1.038565993309021,0.6410256624221802,0.8547754526254784,0.340470362970363,0.5851397689570215,0.5462245215694331,0.6410256410256411,40
Burst_2,rotdaily,Behaviour,123456,HydraMultiRocketPlus,{},0.38940948247909546,0.7791666984558105,0.7132866978645325,0.8714726870692504,0.53007326007326,0.7028619215386788,0.7051492114156623,0.7132867132867133,52
Burst_2,rotdaily,Behaviour,123456,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.589699149131775,1.5901185274124146,0.3636363744735718,0.46073192979694627,0.125,0.19393939393939394,0.1322314049586777,0.36363636363636365,18
Burst_2,rotdaily,Behaviour,123456,TSSequencerPlus,{},0.941123902797699,1.1200321912765503,0.5897436141967773,0.8440123695708995,0.31444472194472195,0.5388640011553272,0.5053269683588612,0.5897435897435898,41
Burst_2,uncorrected,Behaviour,42,HydraMultiRocketPlus,{},0.2841610908508301,0.6992635726928711,0.752913773059845,0.9496617482357534,0.6933703796203796,0.7482687414546882,0.7546475379808713,0.752913752913753,50
Burst_2,uncorrected,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5450094938278198,1.5348188877105713,0.38461539149284363,0.5482143339377175,0.16561563436563437,0.23874889375043581,0.368606151130423,0.38461538461538464,18
Burst_2,uncorrected,Behaviour,42,TSSequencerPlus,{},0.6856973767280579,0.9158594608306885,0.6643356680870056,0.8997301721664415,0.39259573759573757,0.6302266761958014,0.6377559567147945,0.6643356643356644,40
Burst_2,uncorrected,Behaviour,100,HydraMultiRocketPlus,{},0.3376093804836273,0.7297322750091553,0.7435897588729858,0.9493524683083358,0.6791529304029305,0.7336236364106803,0.7532433840463529,0.7435897435897436,53
Burst_2,uncorrected,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.541856050491333,1.5458697080612183,0.3729603588581085,0.6505432555349608,0.14285714285714285,0.21120655584323408,0.17172085418530916,0.372960372960373,19
Burst_2,uncorrected,Behaviour,100,TSSequencerPlus,{},0.6675736308097839,0.8862380385398865,0.6643356680870056,0.9037611832222037,0.3944376456876457,0.635237609056996,0.631449232963051,0.6643356643356644,42
Burst_2,uncorrected,Behaviour,123,HydraMultiRocketPlus,{},0.2908792793750763,0.6867817640304565,0.7319347262382507,0.9578847970003521,0.6508666333666333,0.7241257225354994,0.7334456953919246,0.7319347319347319,53
Burst_2,uncorrected,Behaviour,123,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5600289106369019,1.5328017473220825,0.38461539149284363,0.5348506454483549,0.16517857142857142,0.22872172872172875,0.20033300033300036,0.38461538461538464,19
Burst_2,uncorrected,Behaviour,123,TSSequencerPlus,{},0.32020100951194763,0.8836053013801575,0.692307710647583,0.9208422653088375,0.47000790875790877,0.6743923280731687,0.6961865142492792,0.6923076923076923,41
Burst_2,uncorrected,Behaviour,1234,HydraMultiRocketPlus,{},0.24474580585956573,0.6676456332206726,0.7692307829856873,0.948044601197133,0.7084798534798534,0.7649512057590474,0.7684963037199626,0.7692307692307693,53
Burst_2,uncorrected,Behaviour,1234,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.544655442237854,1.557321548461914,0.3729603588581085,0.6297367043052744,0.14652014652014653,0.2134979084719119,0.17467291220260342,0.372960372960373,18
Burst_2,uncorrected,Behaviour,1234,TSSequencerPlus,{},0.5826336145401001,0.8553959727287292,0.6783216595649719,0.9143290184125008,0.43563311688311684,0.6556201890760444,0.6787811119361921,0.6783216783216783,42
Burst_2,uncorrected,Behaviour,123456,HydraMultiRocketPlus,{},0.19499704241752625,0.7216330766677856,0.7296037077903748,0.8889787889961585,0.512062937062937,0.7202429271902919,0.7249502650252362,0.7296037296037297,52
Burst_2,uncorrected,Behaviour,123456,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.4906628131866455,1.5068879127502441,0.44988346099853516,0.5981809182665523,0.17258782883782883,0.3663046846070719,0.37565686346174154,0.44988344988344986,18
Burst_2,uncorrected,Behaviour,123456,TSSequencerPlus,{},0.6495872139930725,0.9238174557685852,0.6596736311912537,0.9013436295051418,0.40210997335997345,0.6330883202162078,0.6634495471802624,0.6596736596736597,42
Burst_3,rotbasal,Behaviour,42,HydraMultiRocketPlus,{},0.32731539011001587,0.8689648509025574,0.6953846216201782,0.9224867140509487,0.5875192944374812,0.6860904469645279,0.7103919956868538,0.6953846153846154,53
Burst_3,rotbasal,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5011396408081055,1.5186047554016113,0.383076936006546,0.5798086333894303,0.15935851084619895,0.2261791863782621,0.18958207147183526,0.3830769230769231,26
Burst_3,rotbasal,Behaviour,42,TSSequencerPlus,{},0.9037476181983948,1.0661333799362183,0.618461549282074,0.8508175556233903,0.3753998315972656,0.5815662196581364,0.5842846169341895,0.6184615384615385,59
Burst_3,rotbasal,Behaviour,100,HydraMultiRocketPlus,{},0.08537954092025757,0.8807315826416016,0.7292307615280151,0.9161350299642552,0.6029973277560718,0.7095667761211325,0.7188718370481869,0.7292307692307692,53
Burst_3,rotbasal,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.4518237113952637,1.4760843515396118,0.39846155047416687,0.6442652759225896,0.19380849034840375,0.3435674252449822,0.33754976088602906,0.3984615384615385,26
Burst_3,rotbasal,Behaviour,100,TSSequencerPlus,{},0.49610966444015503,0.9716824889183044,0.6523076891899109,0.8862444288249354,0.4698161715726682,0.6263864234812629,0.6239697623986965,0.6523076923076923,60
Burst_3,rotbasal,Behaviour,123,HydraMultiRocketPlus,{},0.21350307762622833,0.8946218490600586,0.6969230771064758,0.9112515527597618,0.5204280347389874,0.6819539438504493,0.6890799201188424,0.696923076923077,53
