burst,correction_type,target,random_seed,model,roc_auc,accuracy,balanced_acc,f1_score,precision,recall,time
Burst_2,rotdaily,Behaviour,123,CategoryEmbeddingModel,0.8881075915116832,0.6778398510242085,0.44058174288589036,0.6495058241084564,0.6935194691314474,0.6778398510242085,4.755215644836426
Burst_2,rotdaily,Behaviour,123,GANDALF,0.8752965899407216,0.6424581005586593,0.44171985848253126,0.6197330051504291,0.6424388962671187,0.6424581005586593,14.084808826446533
Burst_2,rotdaily,Behaviour,1234,CategoryEmbeddingModel,0.5,0.3649906890130354,0.125,0.1951928377805046,0.13321820306621032,0.3649906890130354,4.5275537967681885
Burst_2,rotdaily,Behaviour,1234,GANDALF,0.8837541122318816,0.6610800744878957,0.47888014123613204,0.6396523509858815,0.6557559726205737,0.6610800744878957,16.45025086402893
Burst_2,rotdaily,Behaviour,123456,CategoryEmbeddingModel,0.8803455269432487,0.659217877094972,0.46478464252081764,0.6249199087706567,0.6581523422037248,0.659217877094972,4.958221912384033
Burst_2,rotdaily,Behaviour,123456,GANDALF,0.8502750234013242,0.638733705772812,0.3983297200751118,0.5885289537874114,0.5765331377470427,0.638733705772812,11.695278882980347
Burst_2,uncorrected,Behaviour,42,CategoryEmbeddingModel,0.9111210375231588,0.6908752327746741,0.5050964652347141,0.6748903484955935,0.6795357389644309,0.6908752327746741,4.6406824588775635
Burst_2,uncorrected,Behaviour,42,GANDALF,0.9045186161023506,0.6722532588454376,0.49387182517942885,0.6605661446550045,0.6586202058406229,0.6722532588454376,12.538937091827393
Burst_2,uncorrected,Behaviour,100,CategoryEmbeddingModel,0.9150705557633426,0.702048417132216,0.5012577252496607,0.6903527205001578,0.695117781819848,0.702048417132216,3.7595484256744385
Burst_2,uncorrected,Behaviour,100,GANDALF,0.9145821523721767,0.7057728119180633,0.5512609158634505,0.7016414025566478,0.7020558584855507,0.7057728119180633,15.701422452926636
Burst_2,uncorrected,Behaviour,123,CategoryEmbeddingModel,0.9125185209127593,0.6908752327746741,0.556228407409283,0.6812056331238122,0.691711797737604,0.6908752327746741,4.147244215011597
Burst_2,uncorrected,Behaviour,123,GANDALF,0.9054430451242693,0.7039106145251397,0.5113947272645429,0.693439330321354,0.7017353537818751,0.7039106145251397,15.407287359237671
Burst_2,uncorrected,Behaviour,1234,CategoryEmbeddingModel,0.9085583721248938,0.7094972067039106,0.6185299467557532,0.6992773377367939,0.7050276200489373,0.7094972067039106,5.36970067024231
Burst_2,uncorrected,Behaviour,1234,GANDALF,0.9116839286267403,0.7094972067039106,0.6297349603801217,0.7009262912336525,0.705342691907619,0.7094972067039106,15.695227861404419
Burst_2,uncorrected,Behaviour,123456,CategoryEmbeddingModel,0.9006671238390431,0.702048417132216,0.48240698113970004,0.6797409272857671,0.7008362220652724,0.702048417132216,5.24015736579895
Burst_2,uncorrected,Behaviour,123456,GANDALF,0.90190755472807,0.6945996275605214,0.47989642525932846,0.6804671267666614,0.6920335775739335,0.6945996275605214,13.432535409927368
Burst_3,rotbasal,Behaviour,42,CategoryEmbeddingModel,0.8750133180527623,0.6474201474201474,0.4787251812055414,0.6352800658599643,0.6510020715004594,0.6474201474201474,4.987909317016602
Burst_3,rotbasal,Behaviour,42,GANDALF,0.8750141713201632,0.6375921375921376,0.4381161813565222,0.6154875620449201,0.637213278508999,0.6375921375921376,18.862104177474976
Burst_3,rotbasal,Behaviour,100,CategoryEmbeddingModel,0.9015946797264452,0.7014742014742015,0.49047915632491074,0.6766127820962674,0.7112142488430475,0.7014742014742015,6.033241510391235
Burst_3,rotbasal,Behaviour,100,GANDALF,0.8927435069951485,0.6658476658476659,0.44564085068021614,0.6393162259715935,0.6555465436911617,0.6658476658476659,16.97043204307556
Burst_3,rotbasal,Behaviour,123,CategoryEmbeddingModel,0.8923757049174522,0.6707616707616708,0.4900595296820261,0.6593782117650633,0.6644306523938608,0.6707616707616708,6.206968307495117
Burst_3,rotbasal,Behaviour,123,GANDALF,0.8887325906807896,0.671990171990172,0.4905024517436499,0.6492773385390471,0.6967337719976205,0.671990171990172,18.241849660873413
Burst_3,rotbasal,Behaviour,1234,CategoryEmbeddingModel,0.8791869086572611,0.6756756756756757,0.48692255218168534,0.6597550961591807,0.6789503274964258,0.6756756756756757,6.248546600341797
Burst_3,rotbasal,Behaviour,1234,GANDALF,0.8769721988401591,0.6805896805896806,0.45467198879998083,0.6589706940001703,0.6893491455659684,0.6805896805896806,20.713266134262085
Burst_3,rotbasal,Behaviour,123456,CategoryEmbeddingModel,0.8940413817993632,0.6793611793611793,0.486995919789435,0.6613434389927668,0.6708732389262089,0.6793611793611793,5.095055341720581
Burst_3,rotbasal,Behaviour,123456,GANDALF,0.8932629536776705,0.687960687960688,0.5140327828247127,0.6715994481203911,0.6903242788662391,0.687960687960688,20.718604803085327
Burst_3,rotdaily,Behaviour,42,CategoryEmbeddingModel,0.8917574826223624,0.6658476658476659,0.48983099154382664,0.6406633560380863,0.6531356375178198,0.6658476658476659,6.853595972061157
Burst_3,rotdaily,Behaviour,42,GANDALF,0.8835080563657146,0.6609336609336609,0.49758528371948746,0.6485928856835743,0.6602875159977541,0.6609336609336609,23.106987714767456
Burst_3,rotdaily,Behaviour,100,CategoryEmbeddingModel,0.9021994304957417,0.7162162162162162,0.46530153466881535,0.6905675608666532,0.7003326492041317,0.7162162162162162,5.062696933746338
Burst_3,rotdaily,Behaviour,100,GANDALF,0.9101134540580066,0.714987714987715,0.5178491191009078,0.7015581187148916,0.7131116997213663,0.714987714987715,22.923458576202393
Burst_3,rotdaily,Behaviour,123,CategoryEmbeddingModel,0.8866251063047829,0.6695331695331695,0.4849366345880611,0.6487795721800206,0.6596606359236155,0.6695331695331695,6.768672943115234
