"burst","correction_type","target","random_seed","model","actual_label","data","model_type","actual_count","recall","precision","actual_prop","beh_rarity"
"Burst_1","uncorrected","Behaviour",42,"RF","Grooming receiver","features","ml",18,0.28,0.36,0.07,"uncommon"
"Burst_1","uncorrected","Behaviour",42,"RF","Resting","features","ml",98,0.82,0.7,0.37,"common"
"Burst_1","uncorrected","Behaviour",42,"RF","Running","features","ml",1,0,0,0,"rare"
"Burst_1","uncorrected","Behaviour",42,"RF","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","uncorrected","Behaviour",42,"RF","Sleeping","features","ml",6,0.67,0.67,0.02,"rare"
"Burst_1","uncorrected","Behaviour",42,"RF","Walking","features","ml",31,0.77,0.73,0.12,"uncommon"
"Burst_1","uncorrected","Behaviour",42,"XGB","Eating","features","ml",83,0.76,0.77,0.32,"common"
"Burst_1","uncorrected","Behaviour",42,"XGB","Grooming actor","features","ml",24,0.33,0.67,0.09,"uncommon"
"Burst_1","uncorrected","Behaviour",42,"XGB","Grooming receiver","features","ml",18,0.33,0.4,0.07,"uncommon"
"Burst_1","uncorrected","Behaviour",42,"XGB","Resting","features","ml",98,0.83,0.73,0.37,"common"
"Burst_1","uncorrected","Behaviour",42,"XGB","Running","features","ml",1,0,0,0,"rare"
"Burst_1","uncorrected","Behaviour",42,"XGB","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","uncorrected","Behaviour",42,"XGB","Sleeping","features","ml",6,0.67,0.67,0.02,"rare"
