burst,correction_type,Ind_ID,new_burst
burst_1,rotbasal,Yamuna,89877
burst_1,rotbasal,Yamuna,91983
burst_1,rotbasal,Yamuna,91984
burst_1,rotbasal,Yamuna,91985
burst_1,rotbasal,Yamuna,96601
burst_1,rotbasal,Yamuna,96602
burst_1,rotbasal,Yamuna,96683
burst_1,rotbasal,Yamuna,129092
burst_1,rotbasal,Yamuna,129093
burst_1,rotbasal,Yamuna,129094
burst_1,rotbasal,Yamuna,129095
burst_1,rotbasal,Zeus,72361
burst_1,rotbasal,Zeus,72368
burst_1,rotbasal,Zeus,106037
burst_1,rotbasal,Zeus,106040
burst_1,rotdaily,Aarhus,70722
burst_1,rotdaily,Aarhus,70725
burst_1,rotdaily,Aarhus,70728
burst_1,rotdaily,Aarhus,70789
burst_1,rotdaily,Aarhus,79395
burst_1,rotdaily,Aarhus,79434
burst_1,rotdaily,Aarhus,79488
burst_1,rotdaily,Aarhus,80384
burst_1,rotdaily,Aarhus,100600
burst_1,rotdaily,Aarhus,158299
burst_1,rotdaily,Aarhus,158300
burst_1,rotdaily,Aarhus,158301
burst_1,rotdaily,Furry Glen,96708
burst_1,rotdaily,Furry Glen,301750
burst_1,rotdaily,Furry Glen,377537
burst_1,rotdaily,Kommunis,214587
burst_1,rotdaily,Kommunis,306765
burst_1,rotdaily,Kommunis,306766
burst_1,rotdaily,Kommunis,306769
burst_1,rotdaily,Mieles,289540
burst_1,rotdaily,Mieles,289545
burst_1,rotdaily,Mieles,329826
burst_1,rotdaily,Mieles,329827
burst_1,rotdaily,Mieles,329828
burst_1,rotdaily,Nakhu,87373
burst_1,rotdaily,Nakhu,209074
burst_1,rotdaily,Nakhu,209075
burst_1,rotdaily,Nakhu,307030
burst_1,rotdaily,Nakhu,307033
burst_1,rotdaily,Nakhu,309702
burst_1,rotdaily,Nakhu,309705
burst_1,rotdaily,Nakhu,309707
burst_1,rotdaily,Nakhu,309713
burst_1,rotdaily,Nakhu,309720
burst_1,rotdaily,Nakhu,309724
burst_1,rotdaily,Nakhu,309726
burst_1,rotdaily,Nakhu,309727
burst_1,rotdaily,Nakhu,326054
burst_1,rotdaily,Nakhu,326056
burst_1,rotdaily,Nakhu,326057
burst_1,rotdaily,Nakhu,326058
burst_1,rotdaily,Ndawanya,313705
burst_1,rotdaily,Ndawanya,342481
burst_1,rotdaily,Okefenokee,70847
burst_1,rotdaily,Okefenokee,93774
burst_1,rotdaily,Okefenokee,100584
burst_1,rotdaily,Okefenokee,179146
burst_1,rotdaily,Okefenokee,179160
burst_1,rotdaily,Pomelo,142126
burst_1,rotdaily,Pomelo,142127
burst_1,rotdaily,Pomelo,142128
burst_1,rotdaily,Pomelo,161592
burst_1,rotdaily,Pomelo,300231
burst_1,rotdaily,Pomelo,300236
burst_1,rotdaily,Pomelo,300245
burst_1,rotdaily,Pomelo,304151
burst_1,rotdaily,Pomelo,304156
burst_1,rotdaily,Pomelo,304158
burst_1,rotdaily,Ratel,62331
burst_1,rotdaily,Ratel,62333
burst_1,rotdaily,Ratel,69064
burst_1,rotdaily,Ratel,69121
burst_1,rotdaily,Ratel,69123
burst_1,rotdaily,Ratel,73091
burst_1,rotdaily,Ratel,89461
burst_1,rotdaily,Ratel,173914
burst_1,rotdaily,Seychelles,70927
burst_1,rotdaily,Seychelles,70928
burst_1,rotdaily,Seychelles,70930
burst_1,rotdaily,Seychelles,70933
burst_1,rotdaily,Seychelles,70935
burst_1,rotdaily,Seychelles,224305
burst_1,rotdaily,Seychelles,299310
burst_1,rotdaily,Seychelles,299314
burst_1,rotdaily,Seychelles,299323
burst_1,rotdaily,Seychelles,316507
burst_1,rotdaily,Shongololo,109010
burst_1,rotdaily,Shongololo,328978
burst_1,rotdaily,Shongololo,328980
burst_1,rotdaily,Shongololo,330655
burst_1,rotdaily,Shongololo,339541
burst_1,rotdaily,Shongololo,339543
burst_1,rotdaily,Umbrella,311997
burst_1,rotdaily,Umbrella,312006
burst_1,rotdaily,Vry,295018
burst_1,rotdaily,Vry,295019
burst_1,rotdaily,Vry,315333
burst_1,rotdaily,Vulkaan,79386
burst_1,rotdaily,Vulkaan,310437
burst_1,rotdaily,Vulkaan,310445
burst_1,rotdaily,Vulkaan,310449
burst_1,rotdaily,Vulkaan,337301
burst_1,rotdaily,Vulkaan,337304
burst_1,rotdaily,Vulkaan,342234
burst_1,rotdaily,Vulkaan,342240
burst_1,rotdaily,Vulkaan,342241
burst_1,rotdaily,Vulkaan,342244
burst_1,rotdaily,Vulkaan,345144
burst_1,rotdaily,Vulkaan,345150
burst_1,rotdaily,Vulkaan,345154
burst_1,rotdaily,Vulkaan,357402
burst_1,rotdaily,Vulkaan,357415
burst_1,rotdaily,Vulkaan,357416
burst_1,rotdaily,Vulkaan,358467
burst_1,rotdaily,Vulkaan,358473
burst_1,rotdaily,Xian,141079
burst_1,rotdaily,Xian,321167
burst_1,rotdaily,Xian,327896
burst_1,rotdaily,Xian,327902
burst_1,rotdaily,Xian,327905
burst_1,rotdaily,Xiashan,301065
burst_1,rotdaily,Xinji,156095
burst_1,rotdaily,Yamuna,73516
burst_1,rotdaily,Yamuna,73517
burst_1,rotdaily,Yamuna,73610
burst_1,rotdaily,Yamuna,75558
burst_1,rotdaily,Yamuna,91983
burst_1,rotdaily,Yamuna,91984
burst_1,rotdaily,Yamuna,91985
burst_1,rotdaily,Yamuna,96601
burst_1,rotdaily,Yamuna,96683
burst_1,rotdaily,Yamuna,129093
burst_1,rotdaily,Yamuna,129094
burst_1,rotdaily,Yamuna,129095
burst_1,rotdaily,Zeus,72361
burst_1,rotdaily,Zeus,106040
burst_1,uncorrected,Aarhus,70722
burst_1,uncorrected,Aarhus,70725
burst_1,uncorrected,Aarhus,70726
burst_1,uncorrected,Aarhus,70728
burst_1,uncorrected,Aarhus,70732
burst_1,uncorrected,Aarhus,70734
burst_1,uncorrected,Aarhus,70789
burst_1,uncorrected,Aarhus,70821
burst_1,uncorrected,Aarhus,77452
burst_1,uncorrected,Aarhus,79395
burst_1,uncorrected,Aarhus,79396
burst_1,uncorrected,Aarhus,79434
burst_1,uncorrected,Aarhus,79488
burst_1,uncorrected,Aarhus,80384
burst_1,uncorrected,Aarhus,95965
burst_1,uncorrected,Aarhus,100600
burst_1,uncorrected,Aarhus,158299
burst_1,uncorrected,Aarhus,158300
burst_1,uncorrected,Aarhus,158301
burst_1,uncorrected,Aarhus,312528
burst_1,uncorrected,Furry Glen,66853
burst_1,uncorrected,Furry Glen,91975
burst_1,uncorrected,Furry Glen,91976
burst_1,uncorrected,Furry Glen,92042
burst_1,uncorrected,Furry Glen,92043
burst_1,uncorrected,Furry Glen,96708
burst_1,uncorrected,Furry Glen,96709
burst_1,uncorrected,Furry Glen,301735
burst_1,uncorrected,Furry Glen,301736
burst_1,uncorrected,Furry Glen,301740
burst_1,uncorrected,Furry Glen,301742
burst_1,uncorrected,Furry Glen,301746
burst_1,uncorrected,Furry Glen,301747
burst_1,uncorrected,Furry Glen,301748
burst_1,uncorrected,Furry Glen,301750
burst_1,uncorrected,Furry Glen,301888
burst_1,uncorrected,Furry Glen,377537
burst_1,uncorrected,Kommunis,214587
burst_1,uncorrected,Kommunis,214606
burst_1,uncorrected,Kommunis,306762
burst_1,uncorrected,Kommunis,306764
burst_1,uncorrected,Kommunis,306765
burst_1,uncorrected,Kommunis,306766
burst_1,uncorrected,Kommunis,306767
burst_1,uncorrected,Kommunis,306768
burst_1,uncorrected,Kommunis,306769
burst_1,uncorrected,Kommunis,306771
burst_1,uncorrected,Kommunis,306773
burst_1,uncorrected,Mieles,289540
burst_1,uncorrected,Mieles,289542
burst_1,uncorrected,Mieles,289545
burst_1,uncorrected,Mieles,297102
burst_1,uncorrected,Mieles,300111
burst_1,uncorrected,Mieles,300112
burst_1,uncorrected,Mieles,300118
burst_1,uncorrected,Mieles,300119
burst_1,uncorrected,Mieles,300120
burst_1,uncorrected,Mieles,300134
burst_1,uncorrected,Mieles,300135
burst_1,uncorrected,Mieles,305036
burst_1,uncorrected,Mieles,306642
burst_1,uncorrected,Mieles,306644
burst_1,uncorrected,Mieles,329811
burst_1,uncorrected,Mieles,329813
burst_1,uncorrected,Mieles,329819
burst_1,uncorrected,Mieles,329820
burst_1,uncorrected,Mieles,329821
burst_1,uncorrected,Mieles,329822
burst_1,uncorrected,Mieles,329823
burst_1,uncorrected,Mieles,329826
burst_1,uncorrected,Mieles,329827
burst_1,uncorrected,Mieles,329828
burst_1,uncorrected,Nakhu,87373
burst_1,uncorrected,Nakhu,87419
burst_1,uncorrected,Nakhu,87420
burst_1,uncorrected,Nakhu,87421
burst_1,uncorrected,Nakhu,87422
burst_1,uncorrected,Nakhu,87423
